iter	Logloss
0	0.6530705863
1	0.6170223506
2	0.5710051417
3	0.52653003
4	0.4894141128
5	0.4672807857
6	0.4543924782
7	0.4269192212
8	0.4035173619
9	0.3809445035
10	0.3651896966
11	0.3532747292
12	0.3301913338
13	0.3175157675
14	0.3033959512
15	0.2935538162
16	0.282643635
17	0.2736647016
18	0.2623439514
19	0.2477919572
20	0.2367388266
21	0.2315649268
22	0.2206482477
23	0.209588892
24	0.206387018
25	0.1950065923
26	0.1908713592
27	0.1883307953
28	0.1845246868
29	0.1788189059
30	0.1735445991
31	0.1636637676
32	0.1631736008
33	0.1595004101
34	0.1529814054
35	0.1471616099
36	0.145918881
37	0.1435766553
38	0.1397999393
39	0.1382650907
40	0.1342681583
41	0.1300928191
42	0.1285349846
43	0.1218686391
44	0.1165585854
45	0.1143767629
46	0.109779502
47	0.1073223868
48	0.101928546
49	0.09953218505
50	0.09575934411
51	0.09384880369
52	0.0922167692
53	0.08978024671
54	0.08400320708
55	0.08155276449
56	0.07571845059
57	0.07472952627
58	0.07225296157
59	0.06852924158
60	0.0661224469
61	0.06482656697
62	0.06347073065
63	0.06203654344
64	0.05989746707
65	0.05826622039
66	0.05605940364
67	0.05350273675
68	0.05127318958
69	0.0503794848
70	0.04752406085
71	0.04580164926
72	0.04430425317
73	0.04273430377
74	0.04153069147
75	0.04014394593
76	0.03891107454
77	0.03801685946
78	0.03730638853
79	0.0357026845
80	0.03445923447
81	0.03322186011
82	0.03230867355
83	0.0315977082
84	0.0306266752
85	0.02959165411
86	0.0286476382
87	0.0278364186
88	0.02694405589
89	0.02624114836
90	0.02567386986
91	0.02509421839
92	0.02438314096
93	0.0239456935
94	0.02331321842
95	0.02280007117
96	0.02229035059
97	0.02180019346
98	0.021444157
99	0.02099049301
100	0.0205742962
101	0.02015920637
102	0.01981420202
103	0.01946030605
104	0.0190421415
105	0.0186837889
106	0.01829713866
107	0.01804889569
108	0.01779704799
109	0.01748905818
110	0.01719685381
111	0.01696887102
112	0.01669277278
113	0.01643575713
114	0.01630448652
115	0.01608581002
116	0.01587663333
117	0.0156404033
118	0.01544635793
119	0.01522774982
120	0.01502437521
121	0.01481278167
122	0.01460988488
123	0.01441771068
124	0.01421264354
125	0.01402619874
126	0.01382734187
127	0.0136465251
128	0.01355599716
129	0.01336352094
130	0.01319568574
131	0.01311118864
132	0.01295468832
133	0.01279998838
134	0.01265246799
135	0.01249786534
136	0.01233995672
137	0.01219902912
138	0.01206285245
139	0.01193092387
140	0.01178874902
141	0.01172172552
142	0.01160563879
143	0.01147521657
144	0.01141218341
145	0.01130558857
146	0.01119854853
147	0.01109479846
148	0.01099466661
149	0.01089693531
